source,link,price,thumbnail
Sareez,https://www.sareez.com/products/yellow-paithani-silk-handwoven-wedding-festival-heavy-border-saree-20,63.99,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR_3BFzSs9anFdiunujq0TRXp5rks1iOwJBsrY_BnBPu_5oa2_v
Karmaplace,https://www.karmaplace.com/products/yellow-paithani-silk-woven-saree-bwmar-1006,67.0,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSVo-_oYf8keBACsM-bT9kGD9FXzYpWaX3NXt-SkOgUGgF1P9dQ
sareemandi.com,https://sareemandi.com/products/blended-tissue-silk-golden-paithani-saree-with-pink-border,89.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR2bZIBsqRfqyFBScxg4wHRZ5IBjA4s00ZpcnWPpu6LRmK8zz7S
sareeka.com,https://www.sareeka.com/orange-kanjivaram-silk-trendy-saree-248370.html,92.03,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ7ngxWiC3oUHxN-h-KW1ZPmaK9Tr03gUfcKH5RI4u7TSN_NYAu
qivii,https://qivii.com/products/apricot-orange-woven-paithani-silk-saree-stitched-blouse-1,100.8,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTsBrsJ2_luybRqbwISxCY_CGKFsgiUhAqPW8_Ht4qAwv9Qi_0I
Indian Silk House Agencies,https://global.indiansilkhouseagencies.com/products/yellow-katan-silk-saree-with-blouse-piece-8200000718369h7,121.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRQXtAYpp-CsjZWH83PTsV-7-eHOwjRRHMl_Hmh8Zj3GddpkkSE
Amazon.com,https://www.amazon.com/Traditional-Stitched-Woven-Silk-Saree/dp/B0BYS7H9D3,130.0,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTpOWupWl4LSYEUw0_uH6wCnFbNjjYO4EXjuPM2oTE-t4ML6mim
Andaaz Fashion,https://www.andaazfashion.com/woven-zari-soft-silk-mustard-yellow-saree-sarv129096.html,170.0,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR3yAXstuHK9x-YV4eB90DBQMd5KffH7THEhR57oqw6UlyGXRct
ompaithani,https://www.ompaithani.com/products/pure-silk-handloom-kadiyal-paithani-saree,225.26,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTk7K0sep2dKgH82g9oAQNCVhviWd-8_Y9vPxn6rSoRRuUrPjDn
Etsy,https://www.etsy.com/listing/1428514151/paithani-soft-silk-saree-in-orange-color,240.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR-jxlAHUgm--x43Hqs-D0RyvgWW-Vd9vmZpvBKBvPVXkVF_del
BeGorgeousByPS,https://www.begorgeousbyps.com/products/kanjeevaram-silk-saree-with-paithani,325.0,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-S1D7xhQnZGsuhKOOymE5UeUb6T4-KEkNpUgiaGjV8YLve_NV
Bristi Dresses LLC,https://www.bristidresses.com/product/pattu-gadwal-silk-with-paithani-border/2543?cp=true&sa=false&sbp=false&q=false&category_id=47,330.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnXdgxRR_VzJ2a9sH7rXHWZRf53TQZ80Lp61sSDoRQk0_Nu2mu
Maharani Collections,https://maharani-collections.com/products/copy-of-maharanis-pure-handloom-kanjivaram-silk-saree-black-with-golden-zari-and-boota-work,350.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcStRmGhdAcTSkTPN_fPeo_tftDhT6y44m9xGl5VgkvIAXThkhTF
IndyVogue,https://www.indyvogue.com/products/dual-tone-fire-yellow-color-pure-maharani-paithani-silk-saree,369.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRDKlh3MEHM2K-GELYLAxiguWlza5EqNqZmd9LCwUmiqvQhnGyf
Limeroad,https://www.limeroad.com/red-art-silk-varkala-silk-sarees-p12160516,2100.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYsJZJ1v679PmlJuK5cy1Oj4prfVI_ivpygnNUdarWJ92jDAUO
Amazon.in,https://www.amazon.in/Spewim-Women-Paithani-Saree-Blouse/dp/B0CQD2NQCC,2199.0,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTKxIGGYwZHd_0ztAwbO3K1Q9Ap6yBSI4axYvP21r4xPMRhwrnW
prasheeka.com,https://www.prasheeka.com/product/yellow-amba-colour-orginal-paithani-silk-hand-woven-saree/,21500.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSDyg-KohMh9rKjqm9IWv0IsH9RqtyFCdE-UMnx8Fw22KP3lvl_
Janardhana Silk House,https://www.janardhanasilk.com/designer-meenakari-paithani-silk-saree-ai205409,27800.0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7XajXAMp1-DmTQNrv1-tHy_9EbILC-L7Ivu_MkZzKydbs7BKI
